,isDGA,domain,length,digits,entropy,vowel_cons,firstDigitIndex,ngrams
1198,0,jobs,4,0,2.0,0.3333333333333333,0,2564.0555555555557
1199,0,jtl-software,12,0,3.418295834054489,0.375,0,284.59090909090907
1200,0,top1health,10,1,2.9219280948873623,0.5,4,894.7222222222223
1201,0,unionyucatan,12,0,2.8553885422075336,1.0,0,2294.9616161616163
1202,0,theasianparent,14,0,3.039148671903071,0.75,0,1110.9078144078146
1203,0,pixelcolourgreen,16,0,3.327819531114783,0.7777777777777778,0,2240.1343253968257
1204,0,bloggerexp,10,0,2.921928094887362,0.42857142857142855,0,1961.9027777777776
1205,0,369518,6,6,2.584962500721156,0.0,1,0.0
1206,0,news-eleven,11,0,2.5503407095463886,0.6666666666666666,0,1200.0087542087542
1207,0,elmaidane,9,0,2.725480556997868,1.25,0,1671.688492063492
1208,0,gamersyde,9,0,2.94770277922009,0.5,0,446.6388888888889
1209,0,buddytv,7,0,2.5216406363433186,0.16666666666666666,0,381.7142857142857
1210,0,deluxeblogtips,14,0,3.521640636343319,0.5555555555555556,0,1768.517094017094
1211,0,samakal,7,0,2.1280852788913944,0.75,0,1608.2301587301588
1212,0,knifriend,9,0,2.725480556997868,0.5,0,904.9689153439153
1213,0,andalucia,9,0,2.6416041678685933,1.25,0,1808.2989417989418
1214,0,inspirythemesdemo,17,0,3.4548223999466066,0.5454545454545454,0,1069.876633986928
1215,0,receitas,8,0,2.75,1.0,0,1038.8670634920634
1216,0,freshporntube,13,0,3.3927474104487847,0.4444444444444444,0,1414.6441336441337
1217,0,sendapplicationget,18,0,3.503258334775645,0.6363636363636364,0,1751.9934640522877
1218,0,baijialeba,10,0,2.4464393446710155,1.5,0,740.7296296296296
1219,0,wxyz,4,0,2.0,0.0,0,1176.4166666666667
1220,0,bigvisionbusiness,17,0,2.9109922530150456,0.7,0,1154.3799836601308
1221,0,acnestudios,11,0,3.277613436819116,0.8333333333333334,0,1243.4565656565658
1222,0,royalcm,7,0,2.807354922057604,0.4,0,1668.3285714285714
1223,0,socialengineforum,17,0,3.6168746059562227,0.8888888888888888,0,2073.8517156862745
1224,0,bilgicik,8,0,2.4056390622295662,0.6,0,1359.3333333333333
1225,0,playtech,8,0,3.0,0.3333333333333333,0,1131.561507936508
1226,0,paizo,5,0,2.321928094887362,1.5,0,623.5666666666667
1227,0,txtlinks,8,0,2.75,0.14285714285714285,0,686.6190476190477
1228,0,allainjules,11,0,2.845350936622437,0.8333333333333334,0,1105.2306397306397
1229,0,buzzpo,6,0,2.2516291673878226,0.5,0,255.13333333333333
1230,0,anonhq,6,0,2.2516291673878226,0.5,0,942.8333333333334
1231,0,shouyoushe,10,0,2.521928094887362,1.0,0,1474.3453703703706
1232,0,cn280,5,3,2.321928094887362,0.0,3,666.6833333333333
1233,0,tresellers,10,0,2.2464393446710154,0.42857142857142855,0,1105.1898148148148
1234,0,tocana,6,0,2.251629167387823,1.0,0,1427.7166666666665
1235,0,333site,7,3,2.1280852788913944,1.0,1,729.5682539682539
1236,0,torrentgun,10,0,2.721928094887362,0.42857142857142855,0,835.4527777777779
1237,0,trafficblackbook,16,0,3.25,0.45454545454545453,0,1428.4583333333333
1238,0,everythingbutt,14,0,3.3248629576173574,0.4,0,1577.674297924298
1239,0,bradfordexchange,16,0,3.5,0.45454545454545453,0,1291.8849206349207
1240,0,ironhorse,9,0,2.725480556997868,0.8,0,1427.8082010582011
1241,0,venezuelaaldia,14,0,2.9852281360342516,1.3333333333333333,0,1251.1868131868132
1242,0,rsc,3,0,1.584962500721156,0.0,0,846.3888888888888
1243,0,adespresso,10,0,2.6464393446710157,0.6666666666666666,0,909.3805555555555
1244,0,voxcinemas,10,0,3.321928094887362,0.6666666666666666,0,877.5259259259259
1245,0,clickmein,9,0,2.725480556997868,0.5,0,761.1481481481482
1246,0,motherhoodstuffs,16,0,3.202819531114783,0.45454545454545453,0,1232.0678571428573
